,Solar8000/HR,Solar8000/ART_SBP,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/ETCO2
1970-01-01 00:00:00+00:00,103.0,51.916666666666664,22.75,34.583333333333336,91.6923076923077,10.75
1970-01-01 00:00:01+00:00,103.0,51.916666666666664,22.75,34.583333333333336,91.6923076923077,10.75
1970-01-01 00:00:02+00:00,103.5,51.875,22.708333333333332,34.541666666666664,91.65384615384616,10.75
1970-01-01 00:00:03+00:00,104.03846153846153,50.666666666666664,21.458333333333332,33.625,91.65384615384616,10.75
1970-01-01 00:00:04+00:00,104.07692307692308,49.833333333333336,20.458333333333332,32.916666666666664,91.6923076923077,10.75
1970-01-01 00:00:05+00:00,104.76923076923077,50.083333333333336,20.25,32.791666666666664,91.76923076923077,10.708333333333334
1970-01-01 00:00:06+00:00,105.34615384615384,49.166666666666664,18.791666666666668,32.666666666666664,91.84615384615384,10.666666666666666
1970-01-01 00:00:07+00:00,105.96153846153847,46.458333333333336,19.875,32.833333333333336,92.0,10.708333333333334
1970-01-01 00:00:08+00:00,106.07692307692308,46.041666666666664,23.583333333333332,33.291666666666664,92.15384615384616,10.75
1970-01-01 00:00:09+00:00,106.1923076923077,47.166666666666664,23.708333333333332,33.291666666666664,92.07692307692308,10.75
1970-01-01 00:00:10+00:00,106.38461538461539,46.791666666666664,22.833333333333332,33.291666666666664,92.26923076923077,10.75
1970-01-01 00:00:11+00:00,106.61538461538461,46.797619047619044,24.0,33.5,92.46153846153847,10.791666666666666
1970-01-01 00:00:12+00:00,106.38461538461539,47.51190476190476,25.375,33.541666666666664,92.38461538461539,10.833333333333334
1970-01-01 00:00:13+00:00,106.15384615384616,48.05952380952382,25.625,33.375,92.53846153846153,10.833333333333334
1970-01-01 00:00:14+00:00,106.46153846153847,47.81547619047618,25.166666666666668,32.916666666666664,92.73076923076923,10.833333333333334
1970-01-01 00:00:15+00:00,106.83956043956043,47.55059523809524,26.291666666666668,32.583333333333336,92.73076923076923,10.708333333333334
1970-01-01 00:00:16+00:00,106.37142857142857,47.910714285714285,27.916666666666668,32.75,92.73076923076923,10.583333333333334
1970-01-01 00:00:17+00:00,105.90329670329672,48.354166666666664,26.833333333333332,32.958333333333336,92.65384615384616,10.583333333333334
1970-01-01 00:00:18+00:00,105.3967032967033,48.839285714285715,25.541666666666668,33.208333333333336,92.53846153846153,10.583333333333334
1970-01-01 00:00:19+00:00,104.8131868131868,49.30357142857142,25.458333333333332,33.625,92.53846153846153,10.458333333333334
1970-01-01 00:00:20+00:00,105.26813186813186,49.10119047619048,25.208333333333332,33.708333333333336,92.5,10.333333333333334
1970-01-01 00:00:21+00:00,105.76153846153846,49.19047619047618,25.208333333333332,33.25,92.38461538461539,10.333333333333334
1970-01-01 00:00:22+00:00,104.6010989010989,50.36309523809524,25.333333333333332,33.125,92.34615384615384,10.333333333333334
1970-01-01 00:00:23+00:00,104.72271062271062,51.06349206349207,24.902777777777775,33.69444444444444,92.46153846153847,10.458333333333334
1970-01-01 00:00:24+00:00,104.72893772893772,51.34722222222222,25.01388888888889,34.38888888888889,92.46153846153847,10.583333333333334
1970-01-01 00:00:25+00:00,105.31208791208792,53.041666666666664,28.5,36.458333333333336,92.53846153846153,10.75
1970-01-01 00:00:26+00:00,106.19010989010988,54.625,31.625,38.333333333333336,92.73076923076923,10.916666666666666
1970-01-01 00:00:27+00:00,106.49120879120879,54.791666666666664,31.833333333333332,38.541666666666664,92.83653846153847,10.916666666666666
1970-01-01 00:00:28+00:00,106.67692307692307,55.25,32.083333333333336,38.916666666666664,92.9423076923077,10.916666666666666
1970-01-01 00:00:29+00:00,106.86263736263737,55.625,26.291666666666668,37.958333333333336,92.9326923076923,10.916666666666666
1970-01-01 00:00:30+00:00,106.81758241758241,55.625,20.208333333333332,36.541666666666664,92.84615384615384,10.916666666666666
1970-01-01 00:00:31+00:00,106.77252747252747,55.18981481481482,20.194444444444446,36.041666666666664,92.6826923076923,11.133333333333333
1970-01-01 00:00:32+00:00,107.26593406593406,55.08796296296296,20.22222222222222,35.958333333333336,92.59615384615384,11.35
1970-01-01 00:00:33+00:00,107.72087912087912,54.81944444444445,20.208333333333332,34.208333333333336,92.50961538461539,11.358333333333334
1970-01-01 00:00:34+00:00,107.75274725274724,54.50925925925926,20.73611111111111,32.416666666666664,92.34615384615384,11.366666666666667
1970-01-01 00:00:35+00:00,107.86153846153846,54.36574074074074,21.26388888888889,32.583333333333336,92.49038461538461,11.375
1970-01-01 00:00:36+00:00,107.66263736263735,54.05555555555555,21.708333333333332,32.916666666666664,92.71153846153847,11.383333333333333
1970-01-01 00:00:37+00:00,107.42527472527473,53.7037037037037,21.986111111111114,34.625,92.66346153846153,11.391666666666666
1970-01-01 00:00:38+00:00,107.43150183150183,53.33796296296296,21.291666666666668,36.11111111111111,92.53846153846153,11.4
1970-01-01 00:00:39+00:00,107.43772893772893,52.93055555555555,20.722222222222225,36.05555555555556,92.52884615384616,10.950000000000001
1970-01-01 00:00:40+00:00,107.32857142857142,52.89814814814815,21.527777777777782,36.291666666666664,92.5576923076923,10.5
1970-01-01 00:00:41+00:00,107.16813186813187,52.754629629629626,22.305555555555557,36.875,92.4326923076923,10.5
1970-01-01 00:00:42+00:00,106.75128205128205,51.90277777777777,22.333333333333332,37.18055555555556,92.3076923076923,10.5
1970-01-01 00:00:43+00:00,105.87289377289378,51.13425925925926,22.236111111111114,35.40277777777778,92.11538461538461,10.5
